feature,drift_type,baseline_missing_rate,batch_missing_rate,absolute_difference,threshold,drift_flag,baseline_mean,batch_mean,baseline_std,std_multiplier,status,baseline_median,batch_median,baseline_p90,batch_p90
Age,missingness,0.0,0.0,0.0,0.2,False,,,,,,,,,
Number of sexual partners,missingness,0.028333333333333332,0.05263157894736842,0.024298245614035086,0.2,False,,,,,,,,,
First sexual intercourse,missingness,0.006666666666666667,0.0,0.006666666666666667,0.2,False,,,,,,,,,
Num of pregnancies,missingness,0.06166666666666667,0.10526315789473684,0.04359649122807017,0.2,False,,,,,,,,,
Smokes,missingness,0.02,0.0,0.02,0.2,False,,,,,,,,,
Smokes (years),missingness,0.02,0.0,0.02,0.2,False,,,,,,,,,
Smokes (packs/year),missingness,0.02,0.0,0.02,0.2,False,,,,,,,,,
Hormonal Contraceptives,missingness,0.145,0.05263157894736842,0.09236842105263157,0.2,False,,,,,,,,,
Hormonal Contraceptives (years),missingness,0.145,0.05263157894736842,0.09236842105263157,0.2,False,,,,,,,,,
IUD,missingness,0.15333333333333332,0.10526315789473684,0.048070175438596485,0.2,False,,,,,,,,,
IUD (years),missingness,0.15333333333333332,0.10526315789473684,0.048070175438596485,0.2,False,,,,,,,,,
STDs,missingness,0.13833333333333334,0.05263157894736842,0.08570175438596492,0.2,False,,,,,,,,,
STDs (number),missingness,0.13833333333333334,0.05263157894736842,0.08570175438596492,0.2,False,,,,,,,,,
STDs:condylomatosis,missingness,0.13833333333333334,0.05263157894736842,0.08570175438596492,0.2,False,,,,,,,,,
STDs:cervical condylomatosis,missingness,0.13833333333333334,0.05263157894736842,0.08570175438596492,0.2,False,,,,,,,,,
STDs:vaginal condylomatosis,missingness,0.13833333333333334,0.05263157894736842,0.08570175438596492,0.2,False,,,,,,,,,
STDs:vulvo-perineal condylomatosis,missingness,0.13833333333333334,0.05263157894736842,0.08570175438596492,0.2,False,,,,,,,,,
STDs:syphilis,missingness,0.13833333333333334,0.05263157894736842,0.08570175438596492,0.2,False,,,,,,,,,
STDs:pelvic inflammatory disease,missingness,0.13833333333333334,0.05263157894736842,0.08570175438596492,0.2,False,,,,,,,,,
STDs:genital herpes,missingness,0.13833333333333334,0.05263157894736842,0.08570175438596492,0.2,False,,,,,,,,,
STDs:molluscum contagiosum,missingness,0.13833333333333334,0.05263157894736842,0.08570175438596492,0.2,False,,,,,,,,,
STDs:AIDS,missingness,0.13833333333333334,0.05263157894736842,0.08570175438596492,0.2,False,,,,,,,,,
STDs:HIV,missingness,0.13833333333333334,0.05263157894736842,0.08570175438596492,0.2,False,,,,,,,,,
STDs:Hepatitis B,missingness,0.13833333333333334,0.05263157894736842,0.08570175438596492,0.2,False,,,,,,,,,
STDs:HPV,missingness,0.13833333333333334,0.05263157894736842,0.08570175438596492,0.2,False,,,,,,,,,
STDs: Number of diagnosis,missingness,0.0,0.0,0.0,0.2,False,,,,,,,,,
STDs: Time since first diagnosis,missingness,0.9116666666666666,0.9473684210526315,0.0357017543859649,0.2,False,,,,,,,,,
STDs: Time since last diagnosis,missingness,0.9116666666666666,0.9473684210526315,0.0357017543859649,0.2,False,,,,,,,,,
Dx:Cancer,missingness,0.0,0.0,0.0,0.2,False,,,,,,,,,
Dx:CIN,missingness,0.0,0.0,0.0,0.2,False,,,,,,,,,
Dx:HPV,missingness,0.0,0.0,0.0,0.2,False,,,,,,,,,
Dx,missingness,0.0,0.0,0.0,0.2,False,,,,,,,,,
Age,numeric_mean_shift,,,1.4741228070175438,16.536893207325036,False,26.841666666666665,28.31578947368421,8.268446603662518,2.0,evaluated,,,,
Number of sexual partners,numeric_mean_shift,,,0.006003430531732246,2.8426416589727617,False,2.4939965694682678,2.5,1.4213208294863808,2.0,evaluated,,,,
First sexual intercourse,numeric_mean_shift,,,0.34157541504768574,5.682685168240056,False,17.026845637583893,17.36842105263158,2.841342584120028,2.0,evaluated,,,,
Num of pregnancies,numeric_mean_shift,,,0.3593145961759481,2.8898958042130354,False,2.2877442273534636,2.6470588235294117,1.4449479021065177,2.0,evaluated,,,,
Smokes (years),numeric_mean_shift,,,1.195912562414071,8.348377098938085,False,1.277771648112245,2.473684210526316,4.174188549469043,2.0,evaluated,,,,
Smokes (packs/year),numeric_mean_shift,,,0.07738716472099894,5.168814372783842,False,0.5300187436683674,0.4526315789473685,2.584407186391921,2.0,evaluated,,,,
Hormonal Contraceptives (years),numeric_mean_shift,,,0.08199376116764112,6.657269590848602,False,2.148561794387914,2.230555555555555,3.328634795424301,2.0,evaluated,,,,
IUD (years),numeric_mean_shift,,,0.5207920333487726,3.8999663494184356,False,0.5380314960629922,1.0588235294117647,1.9499831747092178,2.0,evaluated,,,,
STDs (number),numeric_mean_shift,,,0.07457554266064906,1.1281255676643072,False,0.18568665377176016,0.1111111111111111,0.5640627838321536,2.0,evaluated,,,,
STDs: Time since first diagnosis,numeric_mean_shift,,,4.7924528301886795,12.29357862754772,False,6.7924528301886795,2.0,6.14678931377386,2.0,evaluated,,,,
STDs: Time since last diagnosis,numeric_mean_shift,,,4.415094339622642,11.96426706915961,False,6.415094339622642,2.0,5.982133534579805,2.0,evaluated,,,,
STDs: Number of diagnosis,numeric_mean_shift,,,0.04070175438596492,0.6264793288460052,False,0.09333333333333334,0.05263157894736842,0.3132396644230026,2.0,evaluated,,,,
biopsy_positive_probability,prediction_score_shift,,,0.025168571930877237,0.4259344422100742,False,0.38458400504944135,0.4097525769803186,0.2129672211050371,2.0,evaluated,0.379600481873688,0.4060185232477316,0.654570413149166,0.5958030834509767
