feature,drift_type,baseline_missing_rate,batch_missing_rate,absolute_difference,threshold,drift_flag,baseline_mean,batch_mean,baseline_std,std_multiplier,status,baseline_median,batch_median,baseline_p90,batch_p90,batch_date
Age,missingness,0.0,0.0,0.0,0.2,False,,,,,,,,,,2026-05-08
Number of sexual partners,missingness,0.028333333333333332,0.0,0.028333333333333332,0.2,False,,,,,,,,,,2026-05-08
First sexual intercourse,missingness,0.006666666666666667,0.0,0.006666666666666667,0.2,False,,,,,,,,,,2026-05-08
Num of pregnancies,missingness,0.06166666666666667,0.0,0.06166666666666667,0.2,False,,,,,,,,,,2026-05-08
Smokes,missingness,0.02,0.0,0.02,0.2,False,,,,,,,,,,2026-05-08
Smokes (years),missingness,0.02,0.0,0.02,0.2,False,,,,,,,,,,2026-05-08
Smokes (packs/year),missingness,0.02,0.0,0.02,0.2,False,,,,,,,,,,2026-05-08
Hormonal Contraceptives,missingness,0.145,0.0,0.145,0.2,False,,,,,,,,,,2026-05-08
Hormonal Contraceptives (years),missingness,0.145,0.0,0.145,0.2,False,,,,,,,,,,2026-05-08
IUD,missingness,0.15333333333333332,0.05263157894736842,0.1007017543859649,0.2,False,,,,,,,,,,2026-05-08
IUD (years),missingness,0.15333333333333332,0.05263157894736842,0.1007017543859649,0.2,False,,,,,,,,,,2026-05-08
STDs,missingness,0.13833333333333334,0.0,0.13833333333333334,0.2,False,,,,,,,,,,2026-05-08
STDs (number),missingness,0.13833333333333334,0.0,0.13833333333333334,0.2,False,,,,,,,,,,2026-05-08
STDs:condylomatosis,missingness,0.13833333333333334,0.0,0.13833333333333334,0.2,False,,,,,,,,,,2026-05-08
STDs:cervical condylomatosis,missingness,0.13833333333333334,0.0,0.13833333333333334,0.2,False,,,,,,,,,,2026-05-08
STDs:vaginal condylomatosis,missingness,0.13833333333333334,0.0,0.13833333333333334,0.2,False,,,,,,,,,,2026-05-08
STDs:vulvo-perineal condylomatosis,missingness,0.13833333333333334,0.0,0.13833333333333334,0.2,False,,,,,,,,,,2026-05-08
STDs:syphilis,missingness,0.13833333333333334,0.0,0.13833333333333334,0.2,False,,,,,,,,,,2026-05-08
STDs:pelvic inflammatory disease,missingness,0.13833333333333334,0.0,0.13833333333333334,0.2,False,,,,,,,,,,2026-05-08
STDs:genital herpes,missingness,0.13833333333333334,0.0,0.13833333333333334,0.2,False,,,,,,,,,,2026-05-08
STDs:molluscum contagiosum,missingness,0.13833333333333334,0.0,0.13833333333333334,0.2,False,,,,,,,,,,2026-05-08
STDs:AIDS,missingness,0.13833333333333334,0.0,0.13833333333333334,0.2,False,,,,,,,,,,2026-05-08
STDs:HIV,missingness,0.13833333333333334,0.0,0.13833333333333334,0.2,False,,,,,,,,,,2026-05-08
STDs:Hepatitis B,missingness,0.13833333333333334,0.0,0.13833333333333334,0.2,False,,,,,,,,,,2026-05-08
STDs:HPV,missingness,0.13833333333333334,0.0,0.13833333333333334,0.2,False,,,,,,,,,,2026-05-08
STDs: Number of diagnosis,missingness,0.0,0.0,0.0,0.2,False,,,,,,,,,,2026-05-08
STDs: Time since first diagnosis,missingness,0.9116666666666666,0.9473684210526315,0.0357017543859649,0.2,False,,,,,,,,,,2026-05-08
STDs: Time since last diagnosis,missingness,0.9116666666666666,0.9473684210526315,0.0357017543859649,0.2,False,,,,,,,,,,2026-05-08
Dx:Cancer,missingness,0.0,0.0,0.0,0.2,False,,,,,,,,,,2026-05-08
Dx:CIN,missingness,0.0,0.0,0.0,0.2,False,,,,,,,,,,2026-05-08
Dx:HPV,missingness,0.0,0.0,0.0,0.2,False,,,,,,,,,,2026-05-08
Dx,missingness,0.0,0.0,0.0,0.2,False,,,,,,,,,,2026-05-08
Age,numeric_mean_shift,,,1.2627192982456137,16.536893207325036,False,26.841666666666665,25.57894736842105,8.268446603662518,2.0,evaluated,,,,,2026-05-08
Number of sexual partners,numeric_mean_shift,,,0.5466281484156361,2.8426416589727617,False,2.4939965694682678,1.9473684210526316,1.4213208294863808,2.0,evaluated,,,,,2026-05-08
